contract,split,word_count,character_count
"SUCAMPOPHARMACEUTICALS,INC_11_04_2015-EX-10.2-STRATEGIC ALLIANCE AGREEMENT",train,9629,62272
KENTUCKYUTILITIESCO_03_25_2003-EX-10.65-TRANSPORTATION AGREEMENT,test,2578,16901
"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT",validation,17703,120178
"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",train,42742,272018
MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT,test,3224,23672
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT",validation,3724,24315
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement",test,26407,172142
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement,train,40936,266213
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT,train,17813,121559
"ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT",train,3863,25647
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement,train,1656,10996
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT",test,1937,15113
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement,train,4070,28825
"SPRINGBANKPHARMACEUTICALS,INC_04_08_2020-EX-99.A-JOINT FILING AGREEMENT",train,246,1556
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement,train,5369,34461
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT,train,4889,31914
Microgenics Corporation - Collaborative Development and Commercialization Agreement,train,28415,190261
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement,train,22348,144443
VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement,train,2297,14822
AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT,train,11368,73869
IMMUNOMEDICSINC_08_07_2019-EX-10.1-PROMOTION AGREEMENT,validation,24022,154812
HPILHOLDING_01_07_2015-EX-99.1-COOPERATION AGREEMENT,train,2626,20008
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement,test,2384,15871
SPORTHALEYINC_09_29_1997-EX-10.2-10-ENDORSEMENT AGREEMENT,train,1537,11930
XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3),train,20117,140106
NETGROCERINC_07_31_1998-EX-10.15-SPONSORSHIP AGREEMENT,train,5206,45040
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement,train,21991,146058
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_POWEROF,train,2213,14384
DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT,train,11296,75389
NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement,train,2694,17064
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT",test,1975,12624
KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT,train,11172,75458
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement,train,4601,29208
MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT,test,3480,24307
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT,validation,564,3860
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement,train,6718,48159
GOLDRESOURCECORP_12_11_2008-EX-10.1-STRATEGIC ALLIANCE AGREEMENT,train,8786,55434
"Loop Industries, Inc. - Marketing Agreement",train,5244,34740
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement,test,16116,104732
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement,train,11211,77102
HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT,test,2189,14157
WOMENSGOLFUNLIMITEDINC_03_29_2000-EX-10.13-ENDORSEMENT AGREEMENT,train,4539,32371
NeuroboPharmaceuticalsInc_20190903_S-4_EX-10.36_11802165_EX-10.36_Manufacturing Agreement_ Supply Agreement,train,3094,20000
SONUSCORP_03_12_1997-EX-10.11-SPONSORSHIP AGREEMENT,train,3891,34903
RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement,train,15659,100284
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT,train,3865,26830
ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement,train,2131,14149
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT,train,6938,45033
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement,train,11394,73860
VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT,train,739,5046
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement4,train,492,3314
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,train,13634,87070
BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT,train,1736,11539
"UNITEDNATIONALBANCORP_03_03_1999-EX-99-Outsourcing Agreement with the BISYS Group, Inc.",train,279,1952
"GALERATHERAPEUTICS,INC_02_14_2020-EX-99.A-JOINT FILING AGREEMENT",train,623,3892
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement,test,5675,35902
"ROCKYMOUNTAINCHOCOLATEFACTORY,INC_12_23_2019-EX-10.2-STRATEGIC ALLIANCE AGREEMENT",test,19420,121115
VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT,validation,8223,88105
"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT",validation,1122,7124
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement,train,3360,22396
SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement,test,6123,39984
"Reinsurance Group of America, Incorporated - A_R REMARKETING  AGREEMENT",test,16074,102071
BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY AGREEMENT,test,9771,63723
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT",train,4730,29749
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT,train,1796,11420
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2,train,630,3886
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT,validation,357,2298
HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement,test,6492,45042
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT,train,2452,15696
"TURNKEYCAPITAL,INC_07_20_2017-EX-1.1-Strategic Alliance Agreement",validation,1988,12648
IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT,train,3407,23723
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,train,12480,92875
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT",train,14652,96662
BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT,train,5757,40590
RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4.23-SERVICE AGREEMENT,train,2394,16372
STARTECGLOBALCOMMUNICATIONSCORP_11_16_1998-EX-10.30-CONSTRUCTION AND MAINTENANCE AGREEMENT,train,14551,116260
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement2,train,327,2180
TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT,train,2208,17786
FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT,train,24526,155655
"KNOWLABS,INC_08_15_2005-EX-10-INTELLECTUAL PROPERTY AGREEMENT",train,1970,14792
UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT,test,2676,16823
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT",train,10349,69759
"SPIENERGYCO,LTD_07_10_2014-EX-10-Cooperation Agreement of 50MWp Photovoltaic Grid-connected Power Generation Project in Yangqiao of~1",train,413,2811
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement,train,7045,46187
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1,test,22750,144235
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT - Escrow Agreement,train,4201,35612
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT,validation,6470,39863
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement,train,3545,29253
"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT",test,10693,69147
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New,train,8888,61463
TELKOMSALTD_01_30_2003-EX-10-LICENCE AND MAINTENANCE AGREEMENT,validation,16176,105748
"FIDELITYNATIONALINFORMATIONSERVICES,INC_08_05_2009-EX-10.3-INTELLECTUAL PROPERTY AGREEMENT",train,19341,155463
WatchitMediaInc_20061201_8-K_EX-10.1_4148672_EX-10.1_Content License Agreement,train,342,2106
TRUENORTHENERGYCORP_02_08_2007-EX-10.1-DEVELOPMENT AGREEMENT,train,6961,43803
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement,train,4097,26733
TICKETSCOMINC_06_22_1999-EX-10.22-SPONSORSHIP AGREEMENT,train,1155,8080
"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement ",train,2478,15312
OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT,train,24004,159336
"OMINTO,INC_03_29_2004-EX-10-RESELLER AGREEMENT",train,3983,28463
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT",test,7148,46298
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT1,train,15521,98009
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT",train,4051,26347
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009",train,23419,145307
"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.",validation,5558,37337
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement,train,13393,87795
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement",test,2694,16792
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3,train,438,2974
MOVADOGROUPINC_04_30_2003-EX-10.28-ENDORSEMENT AGREEMENT,test,2710,17627
StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement,train,7649,49760
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement,train,2606,16459
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT",train,4188,27899
STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT,test,5496,40856
BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT,train,7991,58300
CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement,test,6230,39177
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement,validation,5445,34191
NEOMEDIATECHNOLOGIESINC_12_15_2005-EX-16.1-DISTRIBUTOR AGREEMENT,validation,4973,36275
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)",validation,1850,12020
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1,train,7198,46696
"VISIUMTECHNOLOGIES,INC_10_20_2004-EX-10.20-DISTRIBUTOR AGREEMENT",train,7706,49784
"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT",train,4429,30102
"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT",train,28937,191775
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement2,train,844,5504
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT",train,1850,12020
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement,train,5326,33825
MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT,train,2355,14879
WestPharmaceuticalServicesInc_20200116_8-K_EX-10.1_11947529_EX-10.1_Supply Agreement,validation,12651,82898
PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT,train,3527,22730
FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT,validation,3037,19355
EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT,train,7939,56952
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement,validation,3696,24223
KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement,train,8964,57436
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3,test,1240,8024
GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement,train,2983,22348
LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT,test,5930,37031
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT,train,8073,52334
PHLVARIABLEINSURANCECOCT_08_17_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT,train,15724,100746
"MEETGROUP,INC_06_29_2017-EX-10.1-COOPERATION AGREEMENT",train,9394,59532
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement3,validation,545,3422
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT,train,15471,101167
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT,validation,5893,45879
SYKESHEALTHPLANSERVICESINC_04_24_1998-EX-10.14-OUTSOURCING AGREEMENT,train,1876,12852
NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT,validation,4359,32860
"MFAFINANCIAL,INC_07_06_2020-EX-99.D-JOINT FILING AGREEMENT",train,578,3595
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement,test,4347,28529
QIWI_06_16_2017-EX-99.(D)(2)-COOPERATION AGREEMENT,train,4170,26192
RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement,train,9178,59089
CnsPharmaceuticalsInc_20200326_8-K_EX-10.1_12079626_EX-10.1_Development Agreement,train,3260,20791
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2,validation,1853,11954
PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT,test,10152,66442
TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT,test,15402,101639
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",test,21046,130742
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement,train,8757,56509
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement,test,6614,48004
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement,train,5039,35136
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT",train,8562,54866
TRANSMONTAIGNEPARTNERSLLC_03_13_2020-EX-10.9-SERVICES AGREEMENT,test,880,5886
"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement",test,2154,13548
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT ,train,33833,221382
ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT,test,20957,130256
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement,validation,8460,52106
ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement,test,9315,60618
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2,test,344,2274
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement,test,6321,40866
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1),train,5818,38733
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,validation,1911,13038
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement,validation,2264,14155
SEASPINEHOLDINGSCORP_10_10_2018-EX-10.1-SUPPLY AGREEMENT,train,10675,70898
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",train,32708,209067
UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement,train,1850,14083
WOMENSGOLFUNLIMITEDINC_03_29_2000-EX-10.13-ENDORSEMENT AGREEMENT - Intellectual Property Rights                 Confidentiality and Non-Use Obligations Agreement,train,940,7042
SPHERE3DCORP_06_24_2020-EX-10.12-CONSULTING AGREEMENT,test,1897,12394
ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT,train,11141,74915
HerImports_20161018_8-KA_EX-10.14_9765707_EX-10.14_Maintenance Agreement,train,1595,10217
PROLONGINTERNATIONALCORP_03_23_1998-EX-10.16-SPONSORSHIP AGREEMENT,validation,2180,14969
DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT,train,4009,25214
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT,train,18815,143307
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement,test,11730,87014
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement,train,14682,114759
WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement,test,2356,14993
SANDRIDGEENERGYINC_08_06_2009-EX-10.6-OPERATIONS AND MAINTENANCE AGREEMENT,train,10964,73119
ON4COMMUNICATIONSINC_07_02_2009-EX-10.1-PROMOTION AGREEMENT,test,2349,15103
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1,test,17147,112794
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement,train,2923,19435
ICORECONNECTINC_10_13_2010-EX-7.1-Strategic Alliance Agreement,train,3913,25246
BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT,train,7308,45214
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement,train,5818,38330
NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development Agreement,train,10546,67932
TEARDROPGOLFCO_10_23_1996-EX-10.12-ENDORSEMENT AGREEMENT,train,3682,26215
"VIRTUALSCOPICS,INC_11_12_2010-EX-10.1-STRATEGIC ALLIANCE AGREEMENT",train,7273,46057
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1,train,6565,42473
BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement,train,5136,37351
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement,train,7018,45002
MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT,train,41962,338211
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement,train,12529,83972
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement2,train,526,3558
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement,train,1468,9174
ScansourceInc_20190822_10-K_EX-10.39_11793959_EX-10.39_Distributor Agreement,train,1605,10891
LOOKSMARTLTD_07_20_2012-EX-99.(D)(I)-SPONSORSHIP AGREEMENT,train,3945,25922
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,validation,4467,29454
MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT,train,18625,122054
XYBERNAUTCORP_07_12_2002-EX-4-SPONSORSHIP AGREEMENT,train,6661,48489
"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT",train,8586,56539
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2,validation,123,857
"MACY_S,INC_05_11_2020-EX-99.4-JOINT FILING AGREEMENT",validation,216,1397
TALCOTTRESOLUTIONLIFEINSURANCECO-SEPARATEACCOUNTTWELVE_04_30_2020-EX-99.8(L)-SERVICE AGREEMENT,train,4724,29797
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,validation,8284,56858
PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT,validation,2435,15052
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement,validation,7396,48412
MTITECHNOLOGYCORP_11_16_2004-EX-10.102-Reseller Agreement Premier Addendum,train,4685,32744
SCOUTCAMINC_05_12_2020-EX-10.22-SERVICES AGREEMENT,train,1305,8315
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement,train,2778,17886
DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT,train,5546,39177
IMPCOTECHNOLOGIESINC_04_15_2003-EX-10.65-JOINT VENTURE AGREEMENT,train,10211,63439
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement,train,6272,42972
"VNUE,INC_07_10_2015-EX-10.1-SPONSORSHIP AGREEMENT",train,3207,20487
LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement,train,3149,19913
EcoScienceSolutionsInc_20180406_8-K_EX-10.1_11135398_EX-10.1_Sponsorship Agreement,validation,1236,8052
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement3,train,395,2558
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4,train,291,1902
"GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement",train,47733,300768
"OPTIMIZEDTRANSPORTATIONMANAGEMENT,INC_07_26_2000-EX-6.6-DISTRIBUTOR AGREEMENT",train,1367,10801
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT,validation,2925,21778
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement,train,7601,48410
IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement,train,5426,35189
ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT AND MAINTENANCE AGREEMENT,train,1368,17712
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement,train,4657,30544
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4,train,258,1742
ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement,train,17726,114893
JOINTCORP_09_19_2014-EX-10.15-FRANCHISE AGREEMENT,train,26623,167259
VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement,train,1634,10553
NEXSTARFINANCEHOLDINGSINC_03_27_2002-EX-10.26-OUTSOURCING AGREEMENT,train,18265,120459
SUNTRONCORP_05_17_2006-EX-10.22-MAINTENANCE AGREEMENT,train,4818,32263
"SPIENERGYCO,LTD_03_09_2011-EX-99.5-OPERATIONS AND MAINTENANCE AGREEMENT",train,8153,54160
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement,train,2709,18157
"PRECIGEN,INC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT",train,145,972
PhotronicsInc_20171219_10-QA_EX-10.28_10982650_EX-10.28_Outsourcing Agreement,train,3937,25392
"KIROMICBIOPHARMA,INC_04_08_2020-EX-10.28-JOINT VENTURE AGREEMENT",train,5749,36610
EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC.,train,3192,20637
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1,train,17994,117118
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,validation,10728,69973
"MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT AGREEMENT",train,1716,12962
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1,train,3025,19851
BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT,train,2706,17234
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT,train,1807,11355
WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT,train,4152,29683
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement,train,7280,45072
NETZEEINC_11_14_2002-EX-10.3-MAINTENANCE AGREEMENT,train,464,3474
REGANHOLDINGCORP_03_31_2008-EX-10-LICENSE AND HOSTING AGREEMENT,train,8824,55889
INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT,train,9967,63376
